"year","p"
1988,1.5220983874557
1989,1.52419228572323
1990,1.51871726838582
1991,1.51517071650879
1992,1.53299325284012
1993,1.53141200827682
1994,1.52679260393081
1995,1.52725677860449
1996,1.50746560220476
1997,1.5231865516125
1998,1.5414117872937
1999,1.53513971033963
2000,1.52563480115771
2001,1.51839061632626
2002,1.52748957341133
2003,1.53039454349297
2004,1.53792657296002
2005,1.5215689103807
2006,1.51845298833232
2007,1.52047644459882
2008,1.52285876577603
2009,1.52967120139742
2010,1.52183487406096
2011,1.51368699173652
2012,1.52023191795298
2013,1.51934265774719
2014,1.51403717640387
2015,1.52391457190302
2016,1.51950514668156
2017,1.51639443003594
2018,1.52246166194518
2019,1.52214039257387
2021,1.53542259084052
2022,1.54095563641979
2023,1.51887712195259
