"year","p"
1988,1.52209628410612
1989,1.52419160571015
1990,1.51871726838582
1991,1.51517071650879
1992,1.53299832362024
1993,1.53142693576348
1994,1.52678694473867
1995,1.52725677860449
1996,1.50746559719486
1997,1.5231865516125
1998,1.54141189020211
1999,1.53513908350914
2000,1.52563598583122
2001,1.51839061632626
2002,1.52749716713847
2003,1.53039454349297
2004,1.53792657296002
2005,1.52156948147125
2006,1.51845298833232
2007,1.5204768810137
2008,1.52286055045401
2009,1.52967098609736
2010,1.52183693767397
2011,1.51368699173652
2012,1.52023104493549
2013,1.51936641403636
2014,1.51402531846638
2015,1.52391425871081
2016,1.51950548648865
2017,1.51639443003594
2018,1.52246166194518
2019,1.52214055003729
2021,1.53542259084052
2022,1.54095661385969
2023,1.51887712195259
