"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
3105269.16646058,1801331.88354544,1374814.45194495,1917218.30417965,1202376.90819834,3012626.93747609,3274105.76196554,3039433.81505291,1426754.50682379,755699.710229947,517963.000427413,357945.926986367,643279.328584735,586682.296007006,136478.901721808,468910.7701349,715821.399031992,828724.901210997,275125.397465505,579867.114764134,311188.186018607,653961.466894929,4015120.03673897,3244184.45277147,1629860.81306655,926745.816689798,398157.217472959,333065.222251897,717630.046062996,2401651.76267792,5673820.32234869,734003.260312774,32207.1619242491,367837.499879169,509770.320819855
3155182.80701964,1553319.53459696,1731640.67413757,1965938.58025389,1089344.40548964,3784257.85771585,3120709.34042604,3082800.16348834,1354191.89340472,621495.58010069,679947.765357909,340077.006682643,733001.897211144,454420.134002754,140447.158350215,469414.928403723,704200.02661427,1009350.59012796,287132.295426785,569750.236577779,251360.94439925,827668.789860227,4204640.34765629,4208993.2954603,1528195.3800105,1073855.78569912,423812.907777405,475464.534549389,683535.164551146,2476822.27934945,5496575.11547508,1101511.68647501,33607.8966586591,627442.49511468,523190.702694157
2504523.19546314,1943602.08433988,1567454.85753722,1734774.10520931,1215911.01923789,3013594.90722903,2982769.82819757,3381503.45337574,1568989.00471886,824219.943063034,778962.38589615,314345.5518109,670893.907720887,466379.490145301,178042.600882794,473802.249872064,681235.697278764,977008.905818005,310397.314371858,592600.149004019,290193.289935845,703394.430076961,3789811.55544214,3234573.43822359,1284604.45305523,928749.683375517,391813.416619119,378741.039198285,690367.799138172,2827539.53075525,4857540.44173485,1024626.69322737,27200.0702723158,523689.131261481,530347.906380377
2766905.22319301,1464775.19624629,1438621.93681441,1810002.97106018,1236419.79686112,2950898.98522738,3021492.66536493,3025549.77444786,1298500.45045946,650346.10757883,550750.46837432,350715.612937301,681393.207384362,465066.118194272,174662.806264537,468471.631636761,680947.780339635,913639.3033762,291524.461465716,514389.54509141,248387.882441865,554832.101403616,3577520.95969706,3440655.4556777,1349518.94323055,1000042.67870375,500167.978989489,545701.483072182,752082.48981822,2370797.32236723,4708308.16724517,956143.45228338,31194.0631102637,529883.091037835,546715.798433047
2882637.34381384,2069098.85763919,1825895.47971767,2142502.99059832,1248501.32447329,3643150.71698229,3187387.99106046,3468608.41175565,1655043.77865378,904391.658498487,658271.229186372,338258.212453443,756930.198520337,591009.152920116,171246.868317103,425915.774163522,812249.586459315,1160985.9694526,367416.476184398,552752.305711199,265638.00052147,633728.1317657,3566167.10793651,3246349.31301202,1356899.62352729,1030179.42871006,537768.409666563,692172.945303056,942421.423900938,3360195.63499243,5547954.31226451,920226.833667475,37506.0883666437,510107.115354377,598467.448026439
2974358.89404632,1727918.22079966,1481400.91906574,1855798.82083329,1300331.60853402,2907686.76483954,3010302.93399459,3131391.76823362,1498129.57742298,877891.114154764,645663.227665159,348060.261387984,720234.59430913,555549.033790038,179003.933801441,521839.341394314,809145.670167381,1096997.58280461,286042.663000517,580425.953753826,296601.209800023,693642.872606549,4240258.47309491,3641698.58723156,1350794.37139812,1042047.23246596,405725.752472958,403455.626030774,795505.207477563,2723942.83567292,5291542.93335983,969699.199092383,29595.9836112467,479007.77748489,555328.105354396
2966701.1736927,1787935.89054317,1500551.83079275,2788112.05802514,1168282.14614236,3193788.33547615,2860854.10442323,3124116.29057494,1506744.98854861,769439.678966861,637198.867727616,345774.503688186,746979.909055952,483747.725416181,200832.296941322,413526.569008521,638487.391011433,1092906.83553002,293597.362645898,675840.686584492,299679.32155748,777330.188387438,4211989.56793697,3536740.51963058,1339258.30036407,971904.253047532,495307.960814115,455396.71307516,911404.948795272,2663489.79352072,4194028.95908769,865564.823186125,33424.6114105673,525713.352885213,593535.651277464
3156825.36669137,1700303.94478221,1621941.81505632,1680969.37779742,1066020.52219791,3499546.34887162,2820096.97113444,3123986.95883196,1602356.55611631,803796.587901079,727441.843838822,347238.739050343,795123.4495208,476979.366576715,181812.142077876,517088.23094756,652341.990857518,809406.548097131,322963.993350698,597729.225868672,302269.540897647,968127.700475922,4209361.39727916,4109600.18759232,1705528.17404783,962833.401861111,482378.004560396,633691.971435568,1017688.23033349,2946713.7355062,6096963.95287925,1013927.97862966,34042.3352689417,505405.940315261,506781.361180275
2904600.80581158,1915209.30832338,1543647.53629431,1746537.45510252,1272093.73152156,2712282.21297792,3310624.7998426,3090274.17230396,1501909.36327862,778892.785371211,643881.182193802,308689.071112185,621454.823924189,478531.58729701,192231.253138835,487880.918218514,751861.367822756,964500.483910035,279997.608505947,576394.157374481,259191.033653919,624137.818042097,4100336.41118162,3386966.81060156,1447681.99692364,1085228.64633285,482066.852169596,383649.272943368,727988.809424063,2679803.23386178,4821824.87695771,966125.608825274,31382.1700582012,475169.036106986,561527.258653094
2860236.05349318,1760651.69396468,1586888.94587857,1799467.59953782,1200096.04266684,2950435.17510478,3059597.36904779,3103247.74027503,1369001.67043628,875925.331557599,705015.346516697,322974.711832114,748415.348848421,535151.13040125,181796.742784617,555989.332620977,814746.241472554,844380.359490455,292420.066013241,540321.234972235,283447.345003907,919269.674401885,4677699.11604036,3588830.20170694,1318341.55544525,924703.987757646,431675.375249595,447785.919453668,1097981.92975389,3076698.26627508,4712996.45443481,1371781.3493317,27626.0035622454,504155.113298434,581548.669692569
2886903.37860951,1520972.3772701,1211245.19535574,1805097.29106885,1192675.95763235,3209524.16470686,3031159.15996789,3276435.56714852,1490292.31471099,658407.686110252,670227.904875099,311904.758100359,797494.784103292,575597.839932224,194367.336313006,437889.917890923,709689.850309289,726352.234102308,292834.404326277,581343.339845074,281450.488866927,651493.937495494,4048660.61685958,3860405.88834767,1482588.18934086,970106.25498698,407365.238980476,498713.243758184,1047579.3678153,2984378.72472637,4734874.66061408,1356823.60918359,30095.0669864961,481397.889937592,579954.775636681
2799561.83836581,1489383.37002585,1107275.2868139,1987837.65861813,1235821.64327977,3019080.14412742,3002873.95249161,3043843.11034931,1314579.29989679,538526.853388644,539123.400767626,307606.163105319,699071.221788543,500506.674104499,146935.690837426,428617.021330761,632490.048197768,798484.57170226,281699.691108486,548712.112307667,266616.109892764,698846.265545292,4034046.86532554,3290979.91515707,1489004.76681942,1008041.097923,463045.472634716,501335.09840751,762430.04467705,2723318.68386293,4842592.17783197,1017264.5848446,26891.280237426,527664.945832989,528849.451026859
2875591.45152983,1756267.85316272,1393222.32165847,1868379.8441603,1239807.11432997,2836398.92246176,2979997.40468247,3052367.86339022,1457718.71393928,757168.211791256,650827.785605948,389777.539537653,726166.341319694,481716.088734611,180833.879785395,417866.444163621,635945.677548024,960536.32079556,281282.513310644,554180.055148199,257695.542018512,665895.522540148,4210530.38564928,3801490.03370621,1548937.29535022,987454.028356474,483880.15383766,361130.518721276,748502.754602141,2950499.50679368,5317136.44173865,805277.682749209,37610.6545347748,457023.8289678,557312.80942361
