"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
1494500.25614404,1514943.88079254,2491416.45592069,783992.636836729,699208.40363901,1306483.34197911,1603322.09260929,2053153.49947828,1368779.73807007,987487.714896214,350574.92323796,312817.683615434,422204.435893313,347505.556355658,76389.2492343068,76119.4713834957,255053.806048458,258559.187587273,159068.220775906,204642.976200807,360781.149460876,311135.361076286,1315030.63606063,2650243.5713961,1460463.83326242,537093.807127916,155756.322032582,240107.457574882,94051.0552704163,788294.414984866,1045268.01453302,771253.667063699,41434.89988507,95048.2503669778,233224.500403681
1639216.28714745,1571840.19010607,2132702.37258724,627000.953370775,689811.850231035,1723889.05317188,1415068.83559218,1969648.98020634,1271531.06309859,918169.388577325,480565.942158983,278853.440299322,461279.609446086,256788.72163383,58346.1487036047,65852.5054534638,308545.478034501,218427.876235328,165094.707263647,272723.614085919,366123.809383143,373809.158501743,1429434.0048767,2958285.45485826,1202004.27001454,667892.307182402,163749.175609703,223520.486515916,120681.792729152,770310.044113616,1062598.65361039,1581696.42432658,55124.5480795876,121073.58735958,204644.489909119
1290796.94700617,2290654.44422043,2549258.16835287,646454.461823372,800303.545808638,1448808.0672953,1401485.18939145,2409923.96832285,1646814.03377335,1051553.01414957,545032.534332193,295648.807377924,461342.871627305,308521.13115952,85687.1353426321,71436.8617291305,243909.89312844,251094.837983752,188394.642677916,232404.907032097,343693.755556302,314770.869557247,1382137.54895403,2352403.02393604,1013066.80248818,536803.845260779,140859.66156333,177869.086519708,97348.2390577185,870586.626078159,937339.42437915,858793.802306236,43553.6090609185,252344.167851815,222436.393995751
1353880.8151714,1246711.69147287,1753004.20654611,1083181.51784757,848629.726998557,1408682.84089875,1335693.60578194,2064418.9370078,1061847.72512973,783187.464930983,384434.333772765,280625.150331071,483072.26173185,267486.198541626,93197.7268931787,81159.9183259129,248607.480758851,248451.865577669,167788.794147219,205608.180794211,314857.602514685,307119.37736713,1224617.2135948,2798592.89774454,1255081.35107865,594315.11720728,200803.202772382,337019.926780853,129846.388945036,756792.85051223,856071.325951502,1374317.11435028,41137.9426170168,106256.304019543,244442.371465087
1552114.7799215,1986698.01077011,2619479.64593733,1015911.11794919,846444.145885785,1651024.7246864,1519233.78966274,2202132.11677772,1747581.40919551,1155328.96005745,501566.198624741,270555.234460554,466939.931962498,410463.887240976,80130.4920554366,74676.0151081875,352901.62687001,351905.716828376,203789.026564826,243327.070074507,360028.407385011,329790.021851857,1349028.57638841,2626561.95521665,1161129.26347383,529150.060930048,164384.872792798,202974.319491095,126313.998001036,1227151.71837306,2157289.1085539,1498687.34984619,60764.1943966342,182656.779448756,245669.58663798
1474164.89954906,1482888.56305427,1770606.66202732,842985.991759608,782619.12625787,1396705.5170244,1501419.17125538,2116838.57382732,1371133.06637939,1167343.63134652,501483.571004263,286065.851602098,505688.164745841,357489.472752691,95949.9405004726,81693.1747640293,290497.623534469,296924.732804401,165114.805033304,242758.084376616,368862.723138947,310309.468212463,1380386.38936436,2878828.42192351,1097327.28338149,608761.608858255,156434.431057038,298945.784359468,119454.358069865,854430.223387634,1133018.93835227,1583194.36673744,59075.0051926059,188293.096937604,238014.91322383
1565961.11152279,1488089.56764027,1628570.12462801,1070995.56370629,794348.838085655,1512531.45644486,1359406.77506151,2025440.18364931,1545052.47723257,1162589.86221232,535469.307948746,284542.033387409,534036.911774769,280329.661222828,81495.985544259,78169.7997568946,303702.409459428,266381.655158378,176831.446320053,269608.895517939,367891.148453569,322464.693881109,1452477.72945173,3039716.56306787,1064506.3455946,566975.95730944,172834.35624004,207725.934210116,114226.19460192,857138.686142878,997743.018018829,656187.279915058,48823.3157060576,121335.100032168,258880.510394462
1544389.2907424,1383858.702321,2216738.54664219,708932.825182084,721362.135046075,1609814.5832292,1292811.58662019,1972158.90778349,1476814.30895146,1007143.72885391,469677.80888901,286040.179588146,501462.242445639,323571.895309432,94528.2093399087,111269.097911715,277469.916972882,230843.252619411,153310.82581313,275656.537534747,367562.918925105,356391.916440778,1431829.14640592,2871304.24335847,1402871.23893942,591211.30116869,221024.618270607,266421.66018528,134863.036162237,936594.262133052,2906934.96536547,1495916.75200643,73437.88251917,148924.292122203,214641.360383884
1487284.42996866,1733590.37321637,1790682.0924132,761854.189981022,914154.911829239,1552350.17099447,1489923.62790958,2047208.80434099,1328888.46365921,945101.129494371,373947.88992233,237833.062671539,392017.321006739,284700.583507751,88574.2800051649,86774.5814451942,277740.557286576,237800.983931403,163280.273870777,268268.915578395,322260.660713336,346020.179757471,1376868.33997324,2780616.16311118,1221152.15602006,570628.399743178,161187.450723709,210097.575375111,106345.799115439,955231.449122463,835338.532070389,804130.142647569,56166.0530832702,213522.158580415,248871.235158153
1588453.75095415,1417225.20241556,1902840.34044702,692792.013229737,817719.528659729,1427094.51092691,2224221.11026067,1925051.73884362,1166531.34698611,1178150.19731605,479079.446211243,271796.467739958,517317.281207431,312069.580878668,102915.969904486,91003.0567305418,311315.742712988,256363.814819922,169886.757807296,283801.601824407,342511.770451947,418177.573835318,1599834.51560117,2706097.82468587,1108942.93197332,523431.943870547,164388.647249578,317540.580363197,134514.52061279,975968.963563104,1133955.4075161,1722179.14334609,44244.292487888,105827.900881257,238791.678685905
