"station","year","avg_dens","Lat","Long","bot_temp","log_avg_dens"
"A-02",1988,0,55.0038581188119,-166.938421089109,3.7,-6.55436829794885
"A-02",1989,0,55.0038581188119,-166.938421089109,3.4,-6.55436829794885
"A-02",1990,0,55.0038581188119,-166.938421089109,3.5,-6.55436829794885
"A-02",1991,0,55.0038581188119,-166.938421089109,3.4,-6.55436829794885
"A-02",1992,57.127667897241,55.0038581188119,-166.938421089109,4,4.04531347517071
"A-02",1993,0,55.0038581188119,-166.938421089109,3.9,-6.55436829794885
"A-02",1994,0,55.0038581188119,-166.938421089109,3.8,-6.55436829794885
"A-02",1995,0,55.0038581188119,-166.938421089109,3.5,-6.55436829794885
"A-02",1996,0,55.0038581188119,-166.938421089109,4.3,-6.55436829794885
"A-02",1997,0,55.0038581188119,-166.938421089109,4,-6.55436829794885
"A-02",1998,0,55.0038581188119,-166.938421089109,NA,-6.55436829794885
"A-02",1999,0,55.0038581188119,-166.938421089109,3.4,-6.55436829794885
"A-02",2000,0,55.0038581188119,-166.938421089109,3.9,-6.55436829794885
"A-02",2001,0,55.0038581188119,-166.938421089109,4.2,-6.55436829794885
"A-02",2002,0,55.0038581188119,-166.938421089109,3.7,-6.55436829794885
"A-02",2003,0,55.0038581188119,-166.938421089109,4.5,-6.55436829794885
"A-02",2004,0,55.0038581188119,-166.938421089109,4,-6.55436829794885
"A-02",2005,0,55.0038581188119,-166.938421089109,4.1,-6.55436829794885
"A-02",2006,0,55.0038581188119,-166.938421089109,3.6,-6.55436829794885
"A-02",2007,0,55.0038581188119,-166.938421089109,3.6,-6.55436829794885
"A-02",2008,0,55.0038581188119,-166.938421089109,3.5,-6.55436829794885
"A-02",2009,0,55.0038581188119,-166.938421089109,3.5,-6.55436829794885
"A-02",2010,0,55.0038581188119,-166.938421089109,4,-6.55436829794885
"A-02",2011,0,55.0038581188119,-166.938421089109,3.9,-6.55436829794885
"A-02",2012,0,55.0038581188119,-166.938421089109,3.5,-6.55436829794885
"A-02",2013,0,55.0038581188119,-166.938421089109,3.7,-6.55436829794885
"A-02",2014,0,55.0038581188119,-166.938421089109,4,-6.55436829794885
"A-02",2015,0,55.0038581188119,-166.938421089109,4.5,-6.55436829794885
"A-02",2016,0,55.0038581188119,-166.938421089109,4.7,-6.55436829794885
"A-02",2017,0,55.0038581188119,-166.938421089109,4.3,-6.55436829794885
"A-02",2018,0,55.0038581188119,-166.938421089109,4.4,-6.55436829794885
"A-02",2019,0,55.0038581188119,-166.938421089109,4.5,-6.55436829794885
"A-02",2021,0,55.0038581188119,-166.938421089109,4.1,-6.55436829794885
"A-02",2022,0,55.0038581188119,-166.938421089109,4,-6.55436829794885
"A-02",2023,0,55.0038581188119,-166.938421089109,4.3,-6.55436829794885
"A-03",1988,0,55.005243125,-166.34199725,3.9,-6.55436829794885
"A-03",1989,0,55.005243125,-166.34199725,3.7,-6.55436829794885
"A-03",1990,0,55.005243125,-166.34199725,3.4,-6.55436829794885
"A-03",1991,0,55.005243125,-166.34199725,3.7,-6.55436829794885
"A-03",1992,0,55.005243125,-166.34199725,4,-6.55436829794885
"A-03",1993,0,55.005243125,-166.34199725,3.9,-6.55436829794885
"A-03",1994,0,55.005243125,-166.34199725,3.2,-6.55436829794885
"A-03",1995,0,55.005243125,-166.34199725,3.6,-6.55436829794885
"A-03",1996,0,55.005243125,-166.34199725,4.2,-6.55436829794885
"A-03",1997,20.4332907947388,55.005243125,-166.34199725,4.1,3.01723515444218
"A-03",1998,0,55.005243125,-166.34199725,3.8,-6.55436829794885
"A-03",1999,0,55.005243125,-166.34199725,3.3,-6.55436829794885
"A-03",2000,0,55.005243125,-166.34199725,3.7,-6.55436829794885
"A-03",2001,0,55.005243125,-166.34199725,3.8,-6.55436829794885
"A-03",2002,0,55.005243125,-166.34199725,3.7,-6.55436829794885
"A-03",2003,0,55.005243125,-166.34199725,NA,-6.55436829794885
"A-03",2004,0,55.005243125,-166.34199725,4.1,-6.55436829794885
"A-03",2005,0,55.005243125,-166.34199725,4.3,-6.55436829794885
"A-03",2006,0,55.005243125,-166.34199725,3.8,-6.55436829794885
"A-03",2007,0,55.005243125,-166.34199725,3.5,-6.55436829794885
"A-03",2008,0,55.005243125,-166.34199725,3.4,-6.55436829794885
"A-03",2009,0,55.005243125,-166.34199725,3.5,-6.55436829794885
"A-03",2010,0,55.005243125,-166.34199725,4,-6.55436829794885
"A-03",2011,0,55.005243125,-166.34199725,3.8,-6.55436829794885
"A-03",2012,0,55.005243125,-166.34199725,3.1,-6.55436829794885
"A-03",2013,0,55.005243125,-166.34199725,3.7,-6.55436829794885
"A-03",2014,0,55.005243125,-166.34199725,3.9,-6.55436829794885
"A-03",2015,0,55.005243125,-166.34199725,4.6,-6.55436829794885
"A-03",2016,0,55.005243125,-166.34199725,4.8,-6.55436829794885
"A-03",2017,0,55.005243125,-166.34199725,4.3,-6.55436829794885
"A-03",2018,0,55.005243125,-166.34199725,4.4,-6.55436829794885
"A-03",2019,0,55.005243125,-166.34199725,4.7,-6.55436829794885
"A-03",2021,0,55.005243125,-166.34199725,4.1,-6.55436829794885
"A-03",2022,0,55.005243125,-166.34199725,4,-6.55436829794885
"A-03",2023,0,55.005243125,-166.34199725,4.3,-6.55436829794885
"A-04",1988,0,55.0028771518987,-165.751185886076,3.9,-6.55436829794885
"A-04",1989,0,55.0028771518987,-165.751185886076,3.5,-6.55436829794885
"A-04",1990,0,55.0028771518987,-165.751185886076,NA,-6.55436829794885
"A-04",1991,0,55.0028771518987,-165.751185886076,4,-6.55436829794885
"A-04",1992,0,55.0028771518987,-165.751185886076,4.1,-6.55436829794885
"A-04",1993,0,55.0028771518987,-165.751185886076,4.1,-6.55436829794885
"A-04",1994,0,55.0028771518987,-165.751185886076,3.9,-6.55436829794885
"A-04",1995,0,55.0028771518987,-165.751185886076,3.7,-6.55436829794885
"A-04",1996,0,55.0028771518987,-165.751185886076,4.6,-6.55436829794885
"A-04",1997,0,55.0028771518987,-165.751185886076,4.5,-6.55436829794885
"A-04",1998,0,55.0028771518987,-165.751185886076,4.1,-6.55436829794885
"A-04",1999,0,55.0028771518987,-165.751185886076,3.4,-6.55436829794885
"A-04",2000,0,55.0028771518987,-165.751185886076,3.5,-6.55436829794885
"A-04",2001,0,55.0028771518987,-165.751185886076,3.8,-6.55436829794885
"A-04",2002,0,55.0028771518987,-165.751185886076,4.1,-6.55436829794885
"A-04",2003,0,55.0028771518987,-165.751185886076,4.7,-6.55436829794885
"A-04",2004,0,55.0028771518987,-165.751185886076,4.2,-6.55436829794885
"A-04",2005,0,55.0028771518987,-165.751185886076,4.4,-6.55436829794885
"A-04",2006,0,55.0028771518987,-165.751185886076,3.7,-6.55436829794885
"A-04",2007,0,55.0028771518987,-165.751185886076,3.6,-6.55436829794885
"A-04",2008,0,55.0028771518987,-165.751185886076,3.8,-6.55436829794885
"A-04",2009,0,55.0028771518987,-165.751185886076,3.6,-6.55436829794885
"A-04",2010,0,55.0028771518987,-165.751185886076,3.9,-6.55436829794885
"A-04",2011,0,55.0028771518987,-165.751185886076,4.2,-6.55436829794885
"A-04",2012,0,55.0028771518987,-165.751185886076,3.5,-6.55436829794885
"A-04",2013,0,55.0028771518987,-165.751185886076,4,-6.55436829794885
"A-04",2014,0,55.0028771518987,-165.751185886076,4.1,-6.55436829794885
"A-04",2015,0,55.0028771518987,-165.751185886076,4.8,-6.55436829794885
"A-04",2016,0,55.0028771518987,-165.751185886076,4.5,-6.55436829794885
"A-04",2017,0,55.0028771518987,-165.751185886076,4.3,-6.55436829794885
"A-04",2018,0,55.0028771518987,-165.751185886076,4.4,-6.55436829794885
"A-04",2019,0,55.0028771518987,-165.751185886076,4.6,-6.55436829794885
"A-04",2021,0,55.0028771518987,-165.751185886076,4.2,-6.55436829794885
"A-04",2022,0,55.0028771518987,-165.751185886076,4,-6.55436829794885
"A-04",2023,0,55.0028771518987,-165.751185886076,4.4,-6.55436829794885
"A-05",1988,0,54.9978212081784,-165.151775817844,4.2,-6.55436829794885
"A-05",1989,20.1979714965822,54.9978212081784,-165.151775817844,4.9,3.00565267220842
"A-05",1990,45.9490730858836,54.9978212081784,-165.151775817844,4.4,3.82756466414987
"A-05",1991,0,54.9978212081784,-165.151775817844,4.3,-6.55436829794885
"A-05",1992,0,54.9978212081784,-165.151775817844,4.8,-6.55436829794885
"A-05",1993,0,54.9978212081784,-165.151775817844,4.8,-6.55436829794885
"A-05",1994,0,54.9978212081784,-165.151775817844,3.3,-6.55436829794885
"A-05",1995,0,54.9978212081784,-165.151775817844,4,-6.55436829794885
"A-05",1996,0,54.9978212081784,-165.151775817844,4.6,-6.55436829794885
"A-05",1997,0,54.9978212081784,-165.151775817844,4.1,-6.55436829794885
"A-05",1998,0,54.9978212081784,-165.151775817844,4.2,-6.55436829794885
"A-05",1999,0,54.9978212081784,-165.151775817844,3.6,-6.55436829794885
"A-05",2000,0,54.9978212081784,-165.151775817844,4.1,-6.55436829794885
"A-05",2001,0,54.9978212081784,-165.151775817844,4.2,-6.55436829794885
"A-05",2002,0,54.9978212081784,-165.151775817844,4.5,-6.55436829794885
"A-05",2003,0,54.9978212081784,-165.151775817844,5,-6.55436829794885
"A-05",2004,0,54.9978212081784,-165.151775817844,4.6,-6.55436829794885
"A-05",2005,0,54.9978212081784,-165.151775817844,NA,-6.55436829794885
"A-05",2006,0,54.9978212081784,-165.151775817844,4.1,-6.55436829794885
"A-05",2007,0,54.9978212081784,-165.151775817844,3.8,-6.55436829794885
"A-05",2008,0,54.9978212081784,-165.151775817844,3.6,-6.55436829794885
"A-05",2009,0,54.9978212081784,-165.151775817844,3.9,-6.55436829794885
"A-05",2010,0,54.9978212081784,-165.151775817844,3.8,-6.55436829794885
"A-05",2011,0,54.9978212081784,-165.151775817844,4.3,-6.55436829794885
"A-05",2012,0,54.9978212081784,-165.151775817844,2.8,-6.55436829794885
"A-05",2013,0,54.9978212081784,-165.151775817844,4.2,-6.55436829794885
"A-05",2014,0,54.9978212081784,-165.151775817844,4.6,-6.55436829794885
"A-05",2015,0,54.9978212081784,-165.151775817844,4.9,-6.55436829794885
"A-05",2016,0,54.9978212081784,-165.151775817844,5.1,-6.55436829794885
"A-05",2017,0,54.9978212081784,-165.151775817844,4.8,-6.55436829794885
"A-05",2018,0,54.9978212081784,-165.151775817844,5,-6.55436829794885
"A-05",2019,0,54.9978212081784,-165.151775817844,5.1,-6.55436829794885
"A-05",2021,0,54.9978212081784,-165.151775817844,4.7,-6.55436829794885
"A-05",2022,0,54.9978212081784,-165.151775817844,4.2,-6.55436829794885
"A-05",2023,0,54.9978212081784,-165.151775817844,4.8,-6.55436829794885
"A-06",1993,0,55.0235578431373,-164.590610980392,NA,-6.55436829794885
"A-06",1994,0,55.0235578431373,-164.590610980392,4.6,-6.55436829794885
"A-06",1995,0,55.0235578431373,-164.590610980392,4,-6.55436829794885
"A-06",1996,0,55.0235578431373,-164.590610980392,5.2,-6.55436829794885
"A-06",1997,0,55.0235578431373,-164.590610980392,5,-6.55436829794885
"A-06",1998,0,55.0235578431373,-164.590610980392,6,-6.55436829794885
"A-06",1999,0,55.0235578431373,-164.590610980392,3.2,-6.55436829794885
"A-06",2000,0,55.0235578431373,-164.590610980392,3.5,-6.55436829794885
"A-06",2001,0,55.0235578431373,-164.590610980392,4.6,-6.55436829794885
"A-06",2002,0,55.0235578431373,-164.590610980392,5,-6.55436829794885
"A-06",2003,0,55.0235578431373,-164.590610980392,5.6,-6.55436829794885
"A-06",2004,0,55.0235578431373,-164.590610980392,5.4,-6.55436829794885
"A-06",2005,0,55.0235578431373,-164.590610980392,NA,-6.55436829794885
"A-06",2006,0,55.0235578431373,-164.590610980392,4.6,-6.55436829794885
"A-06",2007,0,55.0235578431373,-164.590610980392,3.7,-6.55436829794885
"A-06",2008,0,55.0235578431373,-164.590610980392,3.6,-6.55436829794885
