"station","year","avg_dens","Lat","Long","bot_temp","log_avg_dens"
"A-02",1988,0,55.0038581188119,-166.938421089109,3.7,-6.49007147502806
"A-02",1989,0,55.0038581188119,-166.938421089109,3.4,-6.49007147502806
"A-02",1990,20.7992615446345,55.0038581188119,-166.938421089109,3.5,3.03499048528824
"A-02",1991,0,55.0038581188119,-166.938421089109,3.4,-6.49007147502806
"A-02",1992,0,55.0038581188119,-166.938421089109,4,-6.49007147502806
"A-02",1993,0,55.0038581188119,-166.938421089109,3.9,-6.49007147502806
"A-02",1994,0,55.0038581188119,-166.938421089109,3.8,-6.49007147502806
"A-02",1995,0,55.0038581188119,-166.938421089109,3.5,-6.49007147502806
"A-02",1996,0,55.0038581188119,-166.938421089109,4.3,-6.49007147502806
"A-02",1997,0,55.0038581188119,-166.938421089109,4,-6.49007147502806
"A-02",1998,0,55.0038581188119,-166.938421089109,NA,-6.49007147502806
"A-02",1999,0,55.0038581188119,-166.938421089109,3.4,-6.49007147502806
"A-02",2000,0,55.0038581188119,-166.938421089109,3.9,-6.49007147502806
"A-02",2001,0,55.0038581188119,-166.938421089109,4.2,-6.49007147502806
"A-02",2002,0,55.0038581188119,-166.938421089109,3.7,-6.49007147502806
"A-02",2003,0,55.0038581188119,-166.938421089109,4.5,-6.49007147502806
"A-02",2004,0,55.0038581188119,-166.938421089109,4,-6.49007147502806
"A-02",2005,0,55.0038581188119,-166.938421089109,4.1,-6.49007147502806
"A-02",2006,0,55.0038581188119,-166.938421089109,3.6,-6.49007147502806
"A-02",2007,20.3866637132478,55.0038581188119,-166.938421089109,3.6,3.01495542679738
"A-02",2008,0,55.0038581188119,-166.938421089109,3.5,-6.49007147502806
"A-02",2009,0,55.0038581188119,-166.938421089109,3.5,-6.49007147502806
"A-02",2010,0,55.0038581188119,-166.938421089109,4,-6.49007147502806
"A-02",2011,0,55.0038581188119,-166.938421089109,3.9,-6.49007147502806
"A-02",2012,0,55.0038581188119,-166.938421089109,3.5,-6.49007147502806
"A-02",2013,0,55.0038581188119,-166.938421089109,3.7,-6.49007147502806
"A-02",2014,0,55.0038581188119,-166.938421089109,4,-6.49007147502806
"A-02",2015,36.2046743741389,55.0038581188119,-166.938421089109,4.5,3.58923017642741
"A-02",2016,0,55.0038581188119,-166.938421089109,4.7,-6.49007147502806
"A-02",2017,0,55.0038581188119,-166.938421089109,4.3,-6.49007147502806
"A-02",2018,0,55.0038581188119,-166.938421089109,4.4,-6.49007147502806
"A-02",2019,0,55.0038581188119,-166.938421089109,4.5,-6.49007147502806
"A-02",2021,0,55.0038581188119,-166.938421089109,4.1,-6.49007147502806
"A-02",2022,0,55.0038581188119,-166.938421089109,4,-6.49007147502806
"A-02",2023,0,55.0038581188119,-166.938421089109,4.3,-6.49007147502806
"A-03",1988,0,55.005243125,-166.34199725,3.9,-6.49007147502806
"A-03",1989,0,55.005243125,-166.34199725,3.7,-6.49007147502806
"A-03",1990,0,55.005243125,-166.34199725,3.4,-6.49007147502806
"A-03",1991,0,55.005243125,-166.34199725,3.7,-6.49007147502806
"A-03",1992,0,55.005243125,-166.34199725,4,-6.49007147502806
"A-03",1993,0,55.005243125,-166.34199725,3.9,-6.49007147502806
"A-03",1994,0,55.005243125,-166.34199725,3.2,-6.49007147502806
"A-03",1995,55.9721024639986,55.005243125,-166.34199725,3.6,4.02488052447648
"A-03",1996,0,55.005243125,-166.34199725,4.2,-6.49007147502806
"A-03",1997,20.4332907947388,55.005243125,-166.34199725,4.1,3.01723978177386
"A-03",1998,0,55.005243125,-166.34199725,3.8,-6.49007147502806
"A-03",1999,18.6231795972347,55.005243125,-166.34199725,3.3,2.9244885513937
"A-03",2000,0,55.005243125,-166.34199725,3.7,-6.49007147502806
"A-03",2001,0,55.005243125,-166.34199725,3.8,-6.49007147502806
"A-03",2002,0,55.005243125,-166.34199725,3.7,-6.49007147502806
"A-03",2003,0,55.005243125,-166.34199725,NA,-6.49007147502806
"A-03",2004,0,55.005243125,-166.34199725,4.1,-6.49007147502806
"A-03",2005,0,55.005243125,-166.34199725,4.3,-6.49007147502806
"A-03",2006,18.2252701794988,55.005243125,-166.34199725,3.8,2.90289241409278
"A-03",2007,0,55.005243125,-166.34199725,3.5,-6.49007147502806
"A-03",2008,0,55.005243125,-166.34199725,3.4,-6.49007147502806
"A-03",2009,0,55.005243125,-166.34199725,3.5,-6.49007147502806
"A-03",2010,0,55.005243125,-166.34199725,4,-6.49007147502806
"A-03",2011,0,55.005243125,-166.34199725,3.8,-6.49007147502806
"A-03",2012,0,55.005243125,-166.34199725,3.1,-6.49007147502806
"A-03",2013,0,55.005243125,-166.34199725,3.7,-6.49007147502806
"A-03",2014,0,55.005243125,-166.34199725,3.9,-6.49007147502806
"A-03",2015,0,55.005243125,-166.34199725,4.6,-6.49007147502806
"A-03",2016,0,55.005243125,-166.34199725,4.8,-6.49007147502806
"A-03",2017,0,55.005243125,-166.34199725,4.3,-6.49007147502806
"A-03",2018,0,55.005243125,-166.34199725,4.4,-6.49007147502806
"A-03",2019,0,55.005243125,-166.34199725,4.7,-6.49007147502806
"A-03",2021,0,55.005243125,-166.34199725,4.1,-6.49007147502806
"A-03",2022,0,55.005243125,-166.34199725,4,-6.49007147502806
"A-03",2023,0,55.005243125,-166.34199725,4.3,-6.49007147502806
"A-04",1988,0,55.0028771518987,-165.751185886076,3.9,-6.49007147502806
