Level,Criterion,Lag,Current_Spawner,Use_Temp,Phase,Prediction_mean,Target_mean,Prediction_max,Target_max,Prediction_min,Target_min,Pred_SD,Pred_P25,Pred_P50,Pred_P75,Pred_P95,Abundance_Capture,MAE,Spatial_Correlation,Adjusted_Spatial_Correlation,N_valid_cells
real,MSE,0,True,False,TRAIN,1488.8961,1613.6813,92376.945,195435.73,0.23907411,0.0,5522.2036,0.3404927,3.1062274,260.6793,8440.463,0.9226705,655.5445,0.9351318093559154,0.9351318080510903,886
real,MSE,0,True,False,VAL,1074.1975,1802.2185,33170.297,292522.1,0.2390902,0.0,2880.2173,0.30167168,4.3902617,446.14807,7824.428,0.59604174,1563.0348,0.8600464431552637,0.8600466327554147,886
real,MSE,0,True,False,TEST,508.83557,407.20087,20899.953,66167.03,0.23971009,0.0,1919.1196,0.32201338,1.1060623,22.401619,2873.977,1.2495935,422.01358,0.7813483716131068,0.7813483716131068,886
real,MSE,0,False,False,TRAIN,1374.9259,1543.6257,115054.14,195435.73,1.1927099,0.0,5324.924,1.4322112,4.981699,266.9341,7233.081,0.89071196,1107.0481,0.9023606674108,0.9023606674108,886
real,MSE,0,False,False,VAL,1574.0211,1802.2185,69040.15,292522.1,1.1898568,0.0,5099.6816,1.486753,7.2104893,422.81458,9698.103,0.8733797,1734.2086,0.8388892411741844,0.8388892411741844,886
real,MSE,0,False,False,TEST,892.27734,407.20087,100990.516,66167.03,1.2003481,0.0,5475.2993,1.327359,1.657864,13.610463,2226.2957,2.191246,823.5162,0.778353075007707,0.778353075007707,886
real,MSE,5,True,False,TRAIN,2403.6328,1481.1263,284237.03,195435.73,1.053494,0.0,11392.475,1.1609919,4.743598,264.1162,10842.951,1.6228411,1841.2943,0.8769200996979601,0.8769194092514536,886
real,MSE,5,True,False,VAL,2485.6633,1951.5923,219950.12,292522.1,1.0535462,0.0,11873.705,1.1036263,2.8845208,433.88702,9754.615,1.2736592,2554.1914,0.8151274010835226,0.8151329283431398,886
real,MSE,5,True,False,TEST,767.2898,407.20087,94549.016,66167.03,1.0536325,0.0,4134.024,1.1345799,1.7727118,39.848846,3193.1658,1.884303,551.8048,0.7790047686290379,0.7790059741216568,886
real,Tweedie,0,True,False,TRAIN,1612.7681,1613.6816,94526.04,195435.73,0.0002143383,0.0,5829.363,0.187733,4.098416,239.92746,9519.562,0.9994339,497.82114,0.9176677158522212,0.9176677154226697,886
real,Tweedie,0,True,False,VAL,2374.8943,1802.2185,74885.016,292522.1,0.00023949146,0.0,6515.7485,0.12970173,5.468199,652.64545,17155.426,1.3177615,2183.1445,0.851948427112851,0.8519483570876294,886
real,Tweedie,0,True,False,TEST,1715.0249,407.20087,34163.78,66167.03,0.0007956028,0.0,4954.9604,0.20527035,2.6938696,141.12338,14594.789,4.211742,1377.048,0.7946018488183312,0.7946018488183312,886
real,Tweedie,0,False,False,TRAIN,1780.5765,1543.6265,169860.05,195435.73,0.000346303,0.0,7013.248,0.47125953,6.7306423,292.96912,9792.173,1.1535021,666.95435,0.9042997772902127,0.9042997772902127,886
real,Tweedie,0,False,False,VAL,2337.2969,1802.2185,67498.85,292522.1,0.00019645691,0.0,6046.899,0.45212975,12.306225,989.8562,15924.767,1.2968998,2275.262,0.8357724954199063,0.8357724856093429,886
real,Tweedie,0,False,False,TEST,1579.3405,407.20087,59899.984,66167.03,0.00079500675,0.0,4946.8076,0.11439684,1.3700733,82.70668,12613.082,3.8785293,1279.9954,0.8113343041877744,0.8113343041877744,886
real,Tweedie,5,True,False,TRAIN,1931.2402,1481.1262,236250.47,195435.73,6.020069e-05,0.0,7871.9287,0.22358492,3.2345483,314.17838,10738.553,1.3038999,675.73016,0.9078616516832271,0.9078616556031244,886
real,Tweedie,5,True,False,VAL,1352.1847,1951.5923,32512.354,292522.1,0.0033119917,0.0,3569.4678,0.17511818,2.7926025,754.8813,8497.426,0.6928623,1815.3254,0.807508727767273,0.807508727767273,886
real,Tweedie,5,True,False,TEST,1162.8772,407.20087,33388.11,66167.03,0.0008481741,0.0,3484.2363,0.069502264,0.7413188,403.02472,7344.7114,2.8557827,853.07513,0.8141985657440317,0.8141985657440317,886
