Level,Criterion,Lag,Current_Spawner,Use_Temp,Phase,Prediction_mean,Target_mean,Prediction_max,Target_max,Prediction_min,Target_min,Pred_SD,Pred_P25,Pred_P50,Pred_P75,Pred_P95,Abundance_Capture,MAE,Spatial_Correlation,Adjusted_Spatial_Correlation,N_valid_cells
easy,MSE,0,True,False,TRAIN,11235.004,4346.066,1534508.8,972297.75,8.549785,0.0,31649.746,9.808691,32.108498,5399.4062,63927.027,2.5850976,8956.29,0.7986616116529756,0.8407458488685219,2500
easy,MSE,0,True,False,VAL,11727.03,4238.9946,1260202.6,972297.75,8.557909,0.0,32987.566,9.663137,27.653614,5426.003,67801.2,2.766465,9378.5,0.7934476700194358,0.8368477132779751,2500
easy,MSE,0,True,False,TEST,11476.244,4479.294,949978.6,972297.75,8.560704,0.0,31792.781,9.7998085,28.374508,5555.1943,64509.227,2.5620654,9317.79,0.7918806628972582,0.835603014388314,2500
easy,MSE,0,False,False,TRAIN,65467.418,4352.8296,591450.0,972297.75,10524.57,0.0,41638.258,37496.02,53664.84,80158.055,146989.72,15.040197,63024.875,0.15644131760876973,0.15441927179842832,2500
easy,MSE,0,False,False,VAL,67701.586,4238.9946,367546.25,972297.75,10517.326,0.0,41395.77,38409.137,56254.71,84825.25,152172.55,15.971143,65323.555,0.14461581066941756,0.14455979408699593,2500
easy,MSE,0,False,False,TEST,66938.34,4479.294,399686.2,972297.75,12147.276,0.0,41533.66,37801.67,55546.86,83516.25,149636.89,14.94395,64669.094,0.16660354738881197,0.16468583374355808,2500
easy,MSE,5,True,False,TRAIN,13351.022,4346.065,2571001.5,972297.75,7.4864435,0.0,45520.207,8.9949,31.02084,4383.883,71714.734,3.0719795,10529.406,0.8017471612064292,0.8434676732365168,2500
easy,MSE,5,True,False,VAL,14540.384,4238.9946,2496102.8,972297.75,7.5605354,0.0,49330.87,8.813957,25.731468,4510.88,79539.31,3.4301493,11630.931,0.7934362436948944,0.8365116989354575,2500
easy,MSE,5,True,False,TEST,13452.563,4479.294,1241192.0,972297.75,7.535391,0.0,46392.715,8.815502,29.355898,4302.913,70011.32,3.0032775,10542.884,0.7902151189180072,0.8320644691858319,2500
easy,Tweedie,0,True,False,TRAIN,4324.8687,4346.063,1304448.0,972297.75,1.4444973,0.0,21473.906,23.439484,181.43747,2717.6968,14946.267,0.99512327,3606.4817,0.7867857916075278,0.7873399589338177,2500
easy,Tweedie,0,True,False,VAL,4379.232,4238.9946,1628168.6,972297.75,1.8853636,0.0,20396.43,23.093601,177.37549,2787.4883,15546.634,1.0330827,3720.6853,0.7841268942833782,0.7846671380611064,2500
easy,Tweedie,0,True,False,TEST,4331.877,4479.294,773614.5,972297.75,2.5012877,0.0,18718.492,26.110771,212.73238,2966.3472,15065.16,0.96708924,3871.5225,0.7829018369690607,0.7832646083516801,2500
easy,Tweedie,0,False,False,TRAIN,5195.223,4352.8296,349626.84,972297.75,104.71891,0.0,15108.631,1073.8179,1946.0055,3995.5933,13500.849,1.1935278,6485.86,0.20114700578389608,0.20114700578389608,2500
easy,Tweedie,0,False,False,VAL,4745.6226,4238.9946,292544.12,972297.75,243.42453,0.0,12748.576,1147.3093,1997.7607,3909.2295,11288.075,1.119516,6302.9346,0.17619266217303148,0.17619266217303148,2500
easy,Tweedie,0,False,False,TEST,4514.664,4479.294,282824.56,972297.75,371.33112,0.0,11724.838,1190.9034,2010.3552,3796.6958,10377.521,1.0078963,6378.8135,0.18402992863757545,0.18402992863757545,2500
easy,Tweedie,5,True,False,TRAIN,4365.9087,4346.0664,1567336.2,972297.75,1.6271789,0.0,21673.484,17.689396,155.6792,2807.3262,14871.416,1.0045656,3605.5723,0.7893338193959448,0.7907204841779464,2500
easy,Tweedie,5,True,False,VAL,4360.5713,4238.9946,1192251.5,972297.75,1.6671638,0.0,20148.352,13.484056,128.994,2816.6155,15694.286,1.0286806,3685.071,0.7872257850956437,0.7897172805768746,2500
easy,Tweedie,5,True,False,TEST,4008.0276,4479.294,661833.6,972297.75,2.3484755,0.0,16829.574,15.492739,142.6547,2886.3555,14410.186,0.89479,3851.1287,0.7864233069728965,0.7876268292510695,2500
medium,MSE,0,True,False,TRAIN,21272.246,4315.0347,5226744.5,972297.75,10.712143,0.0,77107.695,12.761648,78.09042,5621.045,118675.49,4.9297976,18681.975,0.7542760330826486,0.7889511167621281,2500
medium,MSE,0,True,False,VAL,21527.043,4125.6187,4738697.0,972297.75,10.725789,0.0,75910.68,12.304819,43.397125,7753.7417,115917.055,5.2178946,18341.357,0.7955377717981462,0.8326319958396363,2500
medium,MSE,0,True,False,TEST,24553.027,4270.5195,3381233.8,972297.75,10.707358,0.0,84422.15,11.864753,37.872612,7928.4434,133193.33,5.749424,21254.643,0.7925124737656808,0.831969445732049,2500
medium,MSE,0,False,False,TRAIN,19779.484,4364.8564,2780355.8,972297.75,8.295142,0.0,67244.61,10.414881,41.97179,5360.2344,112673.805,4.5315313,17173.049,0.7796592678728929,0.8163670471792954,2500
medium,MSE,0,False,False,VAL,25467.014,4125.6187,6894849.0,972297.75,8.315474,0.0,90880.055,9.780729,25.544868,6065.843,142627.69,6.1728954,22112.143,0.7995385055716668,0.83850754896426,2500
medium,MSE,0,False,False,TEST,36874.0,4270.5195,11197103.0,972297.75,8.301696,0.0,138751.72,9.464489,20.485413,6292.9385,204748.55,8.634547,33255.02,0.7945355505923535,0.8362373143821583,2500
medium,MSE,5,True,False,TRAIN,17187.64,4315.035,3017486.2,972297.75,12.36766,0.0,46187.3,14.941948,77.14919,6627.2515,104854.92,3.9831984,14766.699,0.7505163359382924,0.7847583606825413,2500
