Level,Criterion,Lag,Current_Spawner,Use_Temp,Phase,Prediction_mean,Target_mean,Prediction_max,Target_max,Prediction_min,Target_min,Pred_SD,Pred_P25,Pred_P50,Pred_P75,Pred_P95,Abundance_Capture,MAE,Spatial_Correlation,Adjusted_Spatial_Correlation,N_valid_cells
easy,MSE,0,True,False,TRAIN,12256.791,4346.066,1675249.6,972297.75,7.4527874,0.0,39002.52,9.828057,42.03785,5027.8594,66434.625,2.8202038,9740.958,0.7962314588367139,0.8345652355185295,2500
easy,MSE,0,True,False,VAL,13705.403,4238.9946,1833428.0,972297.75,7.480035,0.0,45010.266,9.009232,32.430634,5190.179,73758.97,3.2331731,10966.685,0.791802155103299,0.8333476082164244,2500
easy,MSE,0,True,False,TEST,12733.025,4479.294,986530.44,972297.75,7.483856,0.0,38221.746,9.104806,38.861835,5841.038,68170.766,2.8426409,10125.94,0.7893268559512084,0.8299638171784461,2500
easy,MSE,0,False,False,TRAIN,63614.05,4352.8286,394068.7,972297.75,9353.76,0.0,42188.11,33141.582,51273.71,82400.83,148064.05,14.614415,61060.066,0.18587449546001414,0.18403532409631054,2500
easy,MSE,0,False,False,VAL,64164.52,4238.9946,382865.84,972297.75,8884.582,0.0,42873.78,33120.895,51203.125,83377.75,151096.56,15.136731,61577.316,0.16214486014413126,0.15991498542587512,2500
easy,MSE,0,False,False,TEST,63439.49,4479.294,313213.03,972297.75,10005.858,0.0,39835.383,34130.617,52055.89,82252.82,144175.84,14.162831,61048.375,0.17227509408122874,0.17188386417277632,2500
easy,MSE,5,True,False,TRAIN,12333.975,4346.067,1406377.1,972297.75,10.014752,0.0,38893.77,11.669687,38.08586,4796.45,68696.37,2.8379626,9728.56,0.7944150177372026,0.8367219110706001,2500
easy,MSE,5,True,False,VAL,11623.954,4238.9946,1937867.4,972297.75,10.1736555,0.0,34678.45,11.728648,46.815784,5487.66,64459.65,2.7421489,9158.562,0.7921123731751284,0.8332007557993297,2500
easy,MSE,5,True,False,TEST,11550.691,4479.294,621054.0,972297.75,9.997818,0.0,32565.701,11.668636,47.2029,5848.587,63705.4,2.5786855,9173.343,0.7897092350651976,0.831987710892621,2500
easy,Tweedie,0,True,False,TRAIN,4554.665,4346.0674,1877610.2,972297.75,1.3432751,0.0,24210.59,19.992838,170.37228,2760.2417,15356.195,1.0479969,3533.8616,0.7881586417705885,0.7891974783768061,2500
easy,Tweedie,0,True,False,VAL,4371.594,4238.9946,1227856.8,972297.75,1.6610284,0.0,19505.936,20.585638,170.28497,2932.9824,15565.655,1.031281,3706.6055,0.7852074533281322,0.7860284733375384,2500
easy,Tweedie,0,True,False,TEST,4825.5913,4479.294,891570.4,972297.75,1.139986,0.0,23244.943,15.438114,142.67758,2869.4329,16431.29,1.0773106,4005.525,0.7823337074309128,0.7839616109017303,2500
easy,Tweedie,0,False,False,TRAIN,3702.9521,4352.83,253223.05,972297.75,303.923,0.0,8381.377,1096.41,1824.4803,3347.0,9134.599,0.8506999,5705.058,0.19430363491828878,0.19430363491828878,2500
easy,Tweedie,0,False,False,VAL,4014.6594,4238.9946,171226.9,972297.75,329.42993,0.0,9785.856,1044.3928,1796.5312,3426.7307,9907.187,0.9470782,5907.211,0.17461130878280054,0.17461130878280054,2500
easy,Tweedie,0,False,False,TEST,4296.5522,4479.294,174383.08,972297.75,297.71506,0.0,11093.887,983.2881,1765.9868,3566.6755,10794.304,0.959203,6251.463,0.18990261598722516,0.18990261598722516,2500
easy,Tweedie,5,True,False,TRAIN,4125.012,4346.0664,1324035.0,972297.75,2.6853776,0.0,19980.645,24.826504,199.4734,2651.2764,14389.831,0.9491369,3557.2688,0.7885797993025706,0.7892367404288183,2500
easy,Tweedie,5,True,False,VAL,4124.2793,4238.9946,1552773.9,972297.75,2.5286202,0.0,18648.877,25.3358,202.28448,2649.8184,15083.438,0.97293806,3659.08,0.7852166662934188,0.7857813720894663,2500
easy,Tweedie,5,True,False,TEST,4215.4634,4479.294,877816.56,972297.75,3.7936487,0.0,19056.719,26.637068,211.11264,2778.1267,14586.87,0.9410999,3853.7083,0.7852454215162212,0.7855703871894465,2500
medium,MSE,0,True,False,TRAIN,24412.498,4315.0356,3275021.0,972297.75,13.763174,0.0,80544.2,15.8804,106.41434,5799.1367,145285.56,5.657543,22021.47,0.7458239198181893,0.77570884489447,2500
medium,MSE,0,True,False,VAL,33624.348,4125.6187,10295916.0,972297.75,13.770595,0.0,111194.07,14.963146,42.885468,11368.654,190944.89,8.150135,30033.672,0.7969871630415921,0.8363997250242159,2500
medium,MSE,0,True,False,TEST,33022.332,4270.5195,3733797.5,972297.75,13.772419,0.0,98843.59,15.02869,47.568855,12749.27,191885.72,7.732627,29374.414,0.792125787147828,0.8326531214853726,2500
medium,MSE,0,False,False,TRAIN,20658.096,4364.8584,7942954.5,972297.75,8.269446,0.0,73908.67,10.955887,44.60746,4382.4414,120236.266,4.7328215,18067.91,0.7801842856303572,0.8155721630717417,2500
medium,MSE,0,False,False,VAL,26302.086,4125.6187,3482617.2,972297.75,8.23264,0.0,88875.41,10.145619,34.44661,7749.093,148709.98,6.375307,22831.764,0.7970107106176985,0.8331176397572775,2500
medium,MSE,0,False,False,TEST,32431.615,4270.5195,7137258.5,972297.75,8.247094,0.0,110922.97,9.726326,31.478472,9005.237,185295.72,7.594302,28744.414,0.7943548000209114,0.8330459632035891,2500
medium,MSE,5,True,False,TRAIN,19984.148,4315.0366,6411943.5,972297.75,14.006576,0.0,69740.055,17.646158,100.237686,4172.3438,120169.086,4.6312814,17704.305,0.7476229615532192,0.7765451821758422,2500
medium,MSE,5,True,False,VAL,26302.957,4125.6187,3826267.5,972297.75,14.01388,0.0,79248.17,16.045635,53.88245,8933.704,157265.77,6.3755183,22883.855,0.7973093205193585,0.8344851751354865,2500
medium,MSE,5,True,False,TEST,24680.941,4270.5195,2415722.2,972297.75,14.071692,0.0,73656.68,16.829044,57.3406,8674.872,146276.19,5.7793775,21443.871,0.7930220210598443,0.8289467723561958,2500
medium,Tweedie,0,True,False,TRAIN,4492.5327,4315.037,1170054.6,972297.75,1.0916963,0.0,18347.348,70.542244,516.16974,3350.665,17142.777,1.0411342,3389.752,0.7323279319687168,0.7324309884153051,2500
medium,Tweedie,0,True,False,VAL,3921.645,4125.6187,1132324.5,972297.75,1.3641126,0.0,16020.851,35.210793,254.11517,2842.2166,16190.823,0.9505593,3097.8047,0.7923871461984768,0.7926447975764354,2500
medium,Tweedie,0,True,False,TEST,4565.465,4270.5195,569096.06,972297.75,1.8898137,0.0,16221.334,31.297861,244.60806,3093.7197,20085.924,1.0690655,3520.4624,0.790161273395557,0.7906395060611827,2500
medium,Tweedie,0,False,False,TRAIN,4395.786,4364.86,2868767.2,972297.75,0.1340518,0.0,27831.078,25.177433,263.62238,2723.8245,15260.259,1.0070853,2926.4136,0.7667186667980844,0.7682246232096622,2500
medium,Tweedie,0,False,False,VAL,4057.5076,4125.6187,1951329.8,972297.75,0.1300826,0.0,19480.291,18.407381,229.07184,2947.254,16465.912,0.9834907,3145.5872,0.7927232999207832,0.7943531092823577,2500
medium,Tweedie,0,False,False,TEST,4776.084,4270.5195,1198726.2,972297.75,0.14034045,0.0,22493.387,15.646641,211.501,2877.0227,18801.348,1.1183848,3678.785,0.7897938522513749,0.7920164566877651,2500
medium,Tweedie,5,True,False,TRAIN,4652.9785,4315.038,3837283.5,972297.75,0.17846286,0.0,34974.406,20.551582,306.84998,2663.9482,14835.054,1.0783169,3158.6506,0.73497267773342,0.7370879601701369,2500
medium,Tweedie,5,True,False,VAL,3744.8123,4125.6187,1648256.8,972297.75,0.16669309,0.0,17289.607,10.586645,142.05103,2609.4934,15683.706,0.90769714,3076.5122,0.7917423359603046,0.7948229361072241,2500
medium,Tweedie,5,True,False,TEST,3398.768,4270.5195,381034.16,972297.75,0.30481994,0.0,10470.445,11.803913,157.65839,2694.1208,15826.133,0.7958676,3275.4353,0.7886562308376355,0.7910837264006719,2500
hard,MSE,0,True,False,TRAIN,31204.762,4197.8003,4638816.0,972297.75,59.291836,0.0,98814.97,113.95894,565.56995,10230.728,188806.33,7.433599,29011.6,0.6428769650232653,0.6518139309268918,2500
hard,MSE,0,True,False,VAL,41887.08,3921.884,4423608.0,972297.75,58.998524,0.0,115302.61,87.67135,404.5296,16307.031,256593.61,10.6803465,38760.383,0.7068465682234865,0.7210271613499326,2500
hard,MSE,0,True,False,TEST,50444.58,3895.9954,10501227.0,972297.75,59.312374,0.0,160869.31,81.985916,390.349,17694.734,291998.7,12.947803,47262.18,0.7055157713285829,0.7224407264965779,2500
hard,MSE,0,False,False,TRAIN,21694.393,4263.021,11194784.0,972297.75,34.43362,0.0,73566.27,62.351658,292.62646,6864.666,127329.336,5.0889716,19231.088,0.6894497623963287,0.7045135577681418,2500
hard,MSE,0,False,False,VAL,25010.781,3921.884,16727330.0,972297.75,35.064594,0.0,88584.43,54.302757,253.69504,7724.1265,148280.33,6.377236,22381.408,0.70533229709658,0.7185492610653486,2500
hard,MSE,0,False,False,TEST,27346.668,3895.9954,4507056.5,972297.75,35.198097,0.0,83022.09,53.6075,255.70099,9943.24,159228.28,7.0191736,24587.127,0.7066170160681519,0.7220759944527148,2500
hard,MSE,5,True,False,TRAIN,23387.996,4197.8022,2216438.2,972297.75,57.606434,0.0,78103.07,128.37747,649.8473,6846.631,138021.78,5.5714855,21585.537,0.6502462320728011,0.6583064721991597,2500
hard,MSE,5,True,False,VAL,38749.23,3921.884,3997286.2,972297.75,57.87875,0.0,113153.02,91.655914,510.47226,12214.834,242300.75,9.8802595,35735.133,0.7065952935665892,0.7197633594346017,2500
hard,MSE,5,True,False,TEST,30275.744,3895.9954,1512392.0,972297.75,58.260532,0.0,88691.83,87.23617,432.6989,9781.15,183994.22,7.770991,27470.654,0.7082407735305348,0.7236201652849827,2500
hard,Tweedie,0,True,False,TRAIN,3874.5134,4197.801,1150333.8,972297.75,5.776664,0.0,17949.186,109.69288,545.92944,2506.7239,14102.795,0.9229865,3780.2727,0.6339163261230881,0.6339285420557338,2500
hard,Tweedie,0,True,False,VAL,3614.6025,3921.884,1168564.8,972297.75,5.1386023,0.0,15290.846,75.91307,427.6488,2373.1184,14285.863,0.9216495,3711.0322,0.6911794116833688,0.6911904646621729,2500
hard,Tweedie,0,True,False,TEST,4096.579,3895.9954,763436.5,972297.75,5.0575967,0.0,18043.111,41.721195,331.33478,2361.2073,16474.367,1.0514846,3867.8403,0.6917820945033402,0.6919455377365158,2500
hard,Tweedie,0,False,False,TRAIN,4542.413,4263.0225,1092661.6,972297.75,4.999586,0.0,20460.713,86.66742,369.64795,2716.818,16483.479,1.0655382,4056.5183,0.6574226774855189,0.657435209667053,2500
hard,Tweedie,0,False,False,VAL,4228.0767,3921.884,985164.3,972297.75,6.972492,0.0,19167.62,65.85141,322.95483,2752.9143,15877.569,1.0780728,3930.495,0.6939889265263929,0.6939891163770328,2500
hard,Tweedie,0,False,False,TEST,4152.1343,3895.9954,923360.4,972297.75,8.305691,0.0,18274.027,67.92349,343.2131,3008.6238,15658.049,1.0657442,3684.445,0.7002661844735849,0.7002695012574239,2500
hard,Tweedie,5,True,False,TRAIN,4894.882,4197.8003,1916467.6,972297.75,9.657274,0.0,26574.467,130.61452,575.44073,2969.802,16143.087,1.1660589,4376.8413,0.6287074747075342,0.6287074747075342,2500
hard,Tweedie,5,True,False,VAL,4148.821,3921.884,971101.3,972297.75,9.936896,0.0,17482.828,92.20735,415.50092,2824.556,16156.024,1.0578642,3991.0217,0.687938394967911,0.6879384738491299,2500
hard,Tweedie,5,True,False,TEST,4176.784,3895.9954,808175.9,972297.75,8.053353,0.0,17385.912,76.33096,403.86334,3014.7937,16342.261,1.0720711,3882.3184,0.6951698633227188,0.6951703494381111,2500
