Level,Criterion,Lag,Current_Spawner,Use_Temp,Phase,Prediction_mean,Target_mean,Prediction_max,Target_max,Prediction_min,Target_min,Pred_SD,Pred_P25,Pred_P50,Pred_P75,Pred_P95,Abundance_Capture,MAE,Spatial_Correlation,Adjusted_Spatial_Correlation,N_valid_cells
real,MSE,0,True,True,TRAIN,1494.4889,1613.681,145427.11,195435.73,0.1325903,0.0,5788.3984,0.24107483,3.4404922,224.42049,8302.217,0.9261365,540.21216,0.9393770377557225,0.9393770376891925,886
real,MSE,0,True,True,VAL,1687.7698,1802.2185,109987.78,292522.1,0.13404989,0.0,5053.643,0.1998722,2.8201094,379.71002,12670.271,0.9364956,2006.6837,0.8471348559521542,0.8471348559521542,886
real,MSE,0,True,True,TEST,297.05768,407.20087,19462.521,66167.03,0.13410294,0.0,1321.8632,0.20657858,0.878006,24.564247,1272.6362,0.7295114,400.63016,0.8217919205497641,0.8217919205497641,886
real,MSE,0,False,True,TRAIN,1584.8568,1543.6267,107046.82,195435.73,1.3424337,0.0,5774.901,1.632422,8.94902,365.37714,8861.037,1.0267099,1374.8583,0.880188695963685,0.8801886737174356,886
real,MSE,0,False,True,VAL,1099.0757,1802.2185,35396.777,292522.1,1.3424649,0.0,3097.259,1.3789074,2.3161466,292.3398,6863.994,0.60984594,1673.476,0.8450793920612252,0.8451044778705387,886
real,MSE,0,False,True,TEST,117.064575,407.20087,10619.863,66167.03,1.3424733,0.0,664.0166,1.352731,1.4147259,6.199523,386.21143,0.28748605,338.48544,0.7761983995712043,0.7762404210069055,886
real,MSE,5,True,True,TRAIN,2063.0857,1481.1262,277309.03,195435.73,1.0753968,0.0,9898.34,1.4300603,6.9006834,253.7355,9572.827,1.3929169,1643.1653,0.8846592377941384,0.8846592377941384,886
real,MSE,5,True,True,VAL,998.7414,1951.5923,24770.38,292522.1,1.0787499,0.0,2589.592,1.2989507,5.6808243,366.96317,6509.715,0.5117572,1684.891,0.8280855583926107,0.8280855583926107,886
real,MSE,5,True,True,TEST,309.71042,407.20087,7741.3784,66167.03,1.0760963,0.0,798.6298,1.6518276,4.0433817,81.947365,2118.902,0.7605839,415.0027,0.8186270375443725,0.8186270375443725,886
real,MSE,0,True,False,TRAIN,1488.8959,1613.6814,92377.305,195435.73,0.23907411,0.0,5522.2007,0.34049225,3.106237,260.67953,8440.456,0.92267025,655.5444,0.9351318159529747,0.9351318146481494,886
real,MSE,0,True,False,VAL,1074.1971,1802.2185,33170.39,292522.1,0.2390902,0.0,2880.2166,0.30167168,4.390274,446.1488,7824.4355,0.59604156,1563.0347,0.8600464770378903,0.8600466666380293,886
real,MSE,0,True,False,TEST,508.8354,407.20087,20900.014,66167.03,0.23971009,0.0,1919.1188,0.3220133,1.106061,22.401562,2873.9736,1.2495931,422.01343,0.7813484989406667,0.7813484989406667,886
real,MSE,0,False,False,TRAIN,1374.9269,1543.6261,115053.266,195435.73,1.1927099,0.0,5324.9233,1.43221,4.981695,266.93378,7233.094,0.8907124,1107.048,0.9023606715308373,0.9023606715308373,886
real,MSE,0,False,False,VAL,1574.0217,1802.2185,69040.48,292522.1,1.1898568,0.0,5099.6826,1.486753,7.210501,422.81372,9698.125,0.87338006,1734.2089,0.8388892646717483,0.8388892646717483,886
real,MSE,0,False,False,TEST,892.27734,407.20087,100990.414,66167.03,1.2003481,0.0,5475.2993,1.327359,1.6578646,13.610497,2226.3142,2.191246,823.5162,0.7783531657559022,0.7783531657559022,886
real,MSE,5,True,False,TRAIN,2403.6343,1481.1267,284235.44,195435.73,1.053494,0.0,11392.474,1.1609921,4.743592,264.1159,10842.981,1.6228416,1841.2948,0.8769201331884605,0.876919442741977,886
real,MSE,5,True,False,VAL,2485.666,1951.5923,219950.56,292522.1,1.0535462,0.0,11873.716,1.1036265,2.8845239,433.887,9754.616,1.2736605,2554.1929,0.8151274613445156,0.8151329886044414,886
real,MSE,5,True,False,TEST,767.2901,407.20087,94548.836,66167.03,1.0536325,0.0,4134.0273,1.1345804,1.7727114,39.84884,3193.157,1.8843037,551.80524,0.7790046908517716,0.7790058963443898,886
real,Tweedie,0,True,True,TRAIN,1844.5695,1613.6819,112098.8,195435.73,0.4261725,0.0,6468.715,5.6792626,33.44181,572.3393,9768.832,1.1430812,941.86334,0.8557219558144086,0.8557219558144086,886
real,Tweedie,0,True,True,VAL,2310.2473,1802.2185,116113.23,292522.1,0.5183487,0.0,6849.9907,3.5540364,19.248154,763.23944,14761.386,1.2818907,2325.0605,0.7915110310312085,0.7915110310312085,886
real,Tweedie,0,True,True,TEST,793.0935,407.20087,56668.863,66167.03,0.5040543,0.0,3667.3313,4.247766,9.222883,64.0278,3881.6008,1.9476714,741.4073,0.7079416309169807,0.7079416309169807,886
real,Tweedie,0,False,True,TRAIN,1814.5016,1543.6262,330724.03,195435.73,0.00023508072,0.0,7966.311,0.12512141,3.6726747,226.71721,9811.394,1.1754799,537.8286,0.9279011087076922,0.9279011068178378,886
real,Tweedie,0,False,True,VAL,1645.6897,1802.2185,74541.01,292522.1,0.00023937225,0.0,4208.871,0.06475571,3.4150496,636.88745,11278.816,0.9131466,1910.5018,0.8487672090738707,0.8487671627228177,886
